time,s1,s2,s3
1月10日,19143.6,45846.696,11779.992
1月11日,35313.264,87432.828,21262.752
1月12日,53143.524,130256.616,31667.076
1月13日,72331.644,177581.376,42378.588
1月14日,94084.116,231552.972,54318.852
1月15日,119091,296565.528,69175.176
1月16日,142379.412,357638.064,82820.556
1月17日,164234.28,420153.048,97222.776
1月18日,184824.78,479360.196,110525.352
1月19日,206292.324,540072.12,123916.968
1月20日,227065.356,603081.276,136801.056
1月21日,249485.628,674869.776,150642.324
1月22日,270036.06,747726.756,163976.064
1月23日,288462.888,813398.208,175057.092
1月24日,307789.02,872022.144,186592.224
1月25日,320886.804,911729.532,195545.196
1月26日,334305.132,957736.5,204048.516
1月27日,342020.448,988019.004,209568.996
1月28日,346512.516,1006272.204,212672.04
1月29日,348956.664,1018185.756,214955.916
1月30日,351200.472,1026769.212,216861.372
1月31日,353430.924,1035788.964,218370.6
2月1日,354877.824,1042845.384,219946.608
2月2日,356315.82,1048837.776,220988.376
2月3日,358715.448,1058369.508,222800.34
2月4日,360701.04,1067180.016,224545.524
2月5日,362757.864,1075140.192,225805.44
2月6日,364565.376,1081746.96,227283.504
2月7日,366439.668,1090753.356,228890.676
2月8日,367904.376,1098308.4,230609.148
2月9日,369315.66,1104501.132,231619.752
2月10日,370740.3,1111624.332,232741.656
2月11日,371986.86,1118716.368,233787.876
2月12日,373963.548,1128070.02,235243.68
2月13日,375744.348,1141915.74,236828.592
2月14日,378322.056,1157337.468,238662.816
2月15日,380476.824,1166081.196,239900.472
2月16日,383464.116,1174936.224,240862.104
2月17日,386308.944,1187397.372,242580.576
2月18日,388045.224,1197240.744,244557.264
2月19日,390306.84,1206977.268,246761.004
2月20日,392216.748,1215155.592,248319.204
2月21日,394638.636,1224776.364,249694.872
2月22日,396909.156,1234357.068,251297.592
2月23日,398930.364,1245059.676,253185.24
2月24日,401663.892,1258201.98,255571.512
2月25日,404660.088,1274442.876,258523.188
2月26日,407892.24,1286026.98,260669.052
2月27日,410487.756,1297967.244,262806.012
2月28日,412508.964,1307957.532,264257.364
2月29日,414174.012,1318419.732,265753.236
