date,今年,去年
20200110,294722,203456
20200111,336571,208799
20200112,276914,214141
20200113,256435,216367
20200114,243079,251983
20200115,263113,313421
20200116,267120,288935
20200117,286709,301400
20200118,343249,312976
20200119,329893,316537
20200120,369961,333010
20200121,478145,387769
20200122,527117,427392
20200123,495953,410474
20200124,173183,328558
20200125,57876,246641
20200126,29383,291161
20200127,19144,251093
20200128,14246,209244
20200129,11575,190100
20200130,10685,165614
20200131,10685,155820
20200201,10685,146026
20200202,20479,151368
20200203,9349,150032
20200204,10240,153594
20200205,12466,177635
20200206,12466,158491
20200207,12020,182087
20200208,12466,165169
20200209,12911,132670
20200210,12020,129108
20200211,12020,135786
20200212,12911,173628
20200213,13801,168286
20200214,13801,148697
20200215,13356,136676
20200216,12911,146026
20200217,12466,192326
20200218,11575,161162
20200219,11130,188320
20200220,11575,154039
20200221,11575,169621
20200222,11130,146916
20200223,11130,148252
20200224,11575,172738
20200225,11575,210580
20200226,11575,173183
20200227,10685,181196
20200228,11575,154484
20200229,12020,149587
