,1月10日,1月11日,1月12日,1月13日,1月14日,1月15日,1月16日,1月17日,1月18日,1月19日,1月20日,1月21日,1月22日,1月23日
安徽省,6.65%,7.00%,6.35%,6.48%,6.90%,7.54%,7.15%,7.68%,8.09%,7.51%,7.81%,8.14%,8.40%,8.27%
北京市,4.30%,3.59%,3.63%,4.02%,4.07%,3.87%,3.76%,3.26%,2.45%,2.25%,1.93%,1.69%,1.56%,1.55%
福建省,2.59%,2.69%,2.79%,2.85%,2.89%,2.98%,3.15%,3.17%,3.09%,3.34%,3.10%,3.01%,2.96%,3.10%
甘肃省,1.37%,1.24%,1.47%,1.45%,1.37%,1.22%,1.03%,1.01%,0.94%,1.03%,1.00%,1.00%,1.08%,0.95%
广东省,7.47%,6.88%,6.80%,6.84%,6.24%,5.75%,5.74%,5.64%,5.44%,5.86%,5.71%,6.06%,6.24%,6.68%
广西壮族自治区,3.09%,3.03%,3.60%,3.35%,2.89%,2.56%,2.38%,2.38%,2.01%,2.51%,2.48%,2.22%,2.20%,2.24%
贵州省,2.69%,2.35%,2.61%,2.74%,2.29%,1.76%,1.74%,1.55%,1.51%,1.55%,1.55%,1.36%,1.20%,1.25%
海南省,1.21%,1.11%,1.38%,1.12%,1.12%,1.13%,1.24%,1.16%,1.07%,1.29%,1.27%,1.29%,1.32%,1.38%
河北省,3.30%,3.07%,3.12%,3.15%,2.89%,3.46%,3.15%,3.41%,3.26%,3.31%,3.23%,2.94%,2.84%,2.41%
河南省,13.80%,15.24%,14.77%,14.90%,16.52%,17.97%,19.00%,19.41%,18.79%,19.38%,21.40%,22.17%,22.67%,22.91%
黑龙江省,0.82%,0.90%,1.08%,0.95%,0.95%,0.98%,1.00%,1.01%,0.94%,1.06%,0.93%,0.82%,0.80%,0.78%
湖南省,10.29%,11.12%,10.34%,10.52%,10.94%,10.64%,10.68%,10.94%,12.58%,11.35%,11.56%,12.20%,12.95%,13.22%
吉林省,0.50%,0.50%,0.60%,0.64%,0.63%,0.57%,0.53%,0.67%,0.57%,0.63%,0.55%,0.54%,0.48%,0.47%
江苏省,5.83%,5.51%,5.03%,4.97%,5.01%,4.98%,4.85%,5.18%,5.20%,4.60%,4.33%,4.16%,4.12%,4.09%
江西省,5.86%,6.66%,5.93%,6.28%,6.41%,6.77%,7.06%,7.31%,7.52%,7.38%,7.19%,7.32%,7.80%,7.92%
辽宁省,1.13%,1.11%,1.11%,1.17%,1.17%,1.07%,1.24%,1.19%,1.14%,1.26%,1.17%,1.04%,0.84%,0.73%
内蒙古自治区,0.82%,0.71%,0.90%,0.78%,0.63%,0.54%,0.62%,0.55%,0.40%,0.46%,0.48%,0.50%,0.48%,0.39%
宁夏回族自治区,0.45%,0.43%,0.48%,0.42%,0.32%,0.24%,0.26%,0.15%,0.23%,0.26%,0.21%,0.18%,0.16%,0.09%
青海省,0.34%,0.22%,0.39%,0.28%,0.29%,0.21%,0.18%,0.12%,0.13%,0.10%,0.10%,0.07%,0.12%,0.09%
山东省,4.12%,3.47%,3.96%,3.63%,3.61%,3.58%,3.65%,3.81%,3.79%,3.74%,3.54%,3.59%,3.40%,2.97%
山西省,2.19%,2.07%,2.31%,2.23%,1.98%,1.94%,1.50%,1.74%,1.78%,1.89%,1.89%,1.87%,1.92%,2.02%
陕西省,2.22%,2.38%,2.37%,2.34%,2.35%,2.24%,2.35%,2.19%,2.35%,2.75%,2.51%,2.55%,2.28%,2.33%
上海市,3.11%,3.00%,2.55%,3.13%,2.98%,2.71%,2.71%,2.44%,2.01%,1.85%,1.58%,1.18%,1.12%,1.34%
四川省,3.91%,3.96%,4.61%,4.21%,4.35%,4.20%,4.24%,3.90%,3.96%,4.43%,4.16%,4.05%,3.88%,3.57%
天津市,0.77%,0.68%,0.66%,0.61%,0.49%,0.66%,0.59%,0.46%,0.47%,0.46%,0.38%,0.32%,0.28%,0.26%
西藏自治区,0.11%,0.06%,0.15%,0.11%,0.09%,0.06%,0.06%,0.03%,0.03%,0.03%,0.03%,0.00%,0.00%,0.04%
新疆维吾尔自治区,0.95%,0.99%,1.11%,1.06%,1.09%,0.75%,0.71%,0.46%,0.64%,0.40%,0.45%,0.39%,0.36%,0.39%
云南省,1.95%,2.01%,2.07%,2.23%,1.86%,1.64%,1.71%,1.65%,1.51%,1.62%,1.69%,1.65%,1.56%,1.42%
浙江省,4.27%,4.27%,3.84%,3.82%,3.58%,3.40%,3.50%,3.53%,3.83%,3.44%,3.41%,3.19%,2.84%,2.84%
重庆市,3.91%,3.72%,4.02%,3.71%,4.10%,4.59%,4.26%,4.02%,4.26%,4.27%,4.37%,4.48%,4.16%,4.31%
