id,lag,ccf,ncov19
0,16,0.465,480
1,9,0.405,76
2,16,0.437,133
3,20,0.265,73
4,7,0.375,1
5,30,0.636,756
6,13,0.338,1272
7,21,0.4217,631
8,15,0.387,990
9,20,0.4504152,66907
10,7,0.442,1205
11,12,0.397,935
12,10,0.379,1018
13,15,0.448,174
14,8,0.31,146
15,10,0.411,296
16,17,0.417,252
17,13,0.371,1349
18,22,0.347,168
19,13,0.417,93
20,10,0.5167,122
21,21,0.355,136
22,11,0.523,18
23,18,0.396,91
24,10,0.37,245
25,14,0.353,75
26,3,0.486,576
27,23,0.555,318
28,24,0.6187,337
29,10,0.37,413
30,0,0,0
31,0,0,0
32,0,0,0
33,8,0.495,538
