,湖北,安徽,北京,福建,甘肃,广东,广西,贵州,海南,河北,河南,黑龙江,湖南,吉林,江苏,江西,辽宁,内蒙古,宁夏,青海,山东,山西,陕西,上海,四川,天津,西藏,新疆,云南,浙江,重庆
1月10日,282.47,11.52,7.45,4.48,2.38,12.93,5.35,4.66,2.1,5.71,23.9,1.42,17.82,0.87,10.1,10.15,1.97,1.42,0.78,0.59,7.13,3.79,3.84,5.39,6.76,1.33,0.18,1.65,3.38,7.4,6.76
1月11日,598.72,22.12,12.89,8.56,4.25,23.34,9.94,8.23,3.79,10.36,46.98,2.78,34.66,1.62,18.45,20.23,3.65,2.5,1.43,0.92,12.38,6.94,7.45,9.94,12.77,2.36,0.28,3.15,6.43,13.88,12.39
1月12日,918.01,32.31,18.71,13.03,6.61,34.26,15.72,12.41,6,15.36,70.69,4.51,51.25,2.58,26.53,29.75,5.43,3.94,2.2,1.55,18.73,10.64,11.25,14.03,20.17,3.42,0.52,4.93,9.75,20.03,18.84
1月13日,1228.56,43.59,25.71,17.99,9.14,46.17,21.55,17.17,7.95,20.85,96.64,6.16,69.58,3.7,35.18,40.69,7.47,5.3,2.93,2.03,25.05,14.53,15.33,19.47,27.51,4.48,0.71,6.77,13.64,26.69,25.3
1月14日,1595.33,57.23,33.75,23.71,11.85,58.51,27.26,21.7,10.15,26.57,129.3,8.03,91.2,4.94,45.08,53.37,9.8,6.54,3.55,2.6,32.18,18.43,19.97,25.36,36.12,5.45,0.88,8.92,17.32,33.77,33.39
1月15日,2061.38,75.04,42.9,30.75,14.74,72.1,33.32,25.85,12.83,34.73,171.75,10.35,116.33,6.28,56.84,69.35,12.33,7.81,4.12,3.09,40.63,23.01,25.25,31.77,46.04,7,1.02,10.68,21.19,41.79,44.24
1月16日,2488.09,90.81,51.2,37.69,17.01,84.75,38.58,29.68,15.56,41.68,213.68,12.56,139.89,7.45,67.55,84.92,15.06,9.17,4.7,3.48,48.68,26.32,30.45,37.74,55.39,8.29,1.15,12.24,24.95,49.51,53.65
1月17日,2941.41,107.87,58.45,44.73,19.25,97.28,43.86,33.14,18.13,49.26,256.8,14.79,164.19,8.94,79.06,101.17,17.7,10.39,5.04,3.75,57.14,30.18,35.32,43.15,64.05,9.31,1.22,13.26,28.61,57.37,62.58
1月18日,3433.23,124.81,63.58,51.2,21.21,108.67,48.07,36.3,20.38,56.08,296.17,16.76,190.56,10.13,89.96,116.92,20.09,11.24,5.53,4.03,65.08,33.9,40.24,47.37,72.35,10.29,1.29,14.59,31.77,65.38,71.51
1月19日,3927.38,140.95,68.42,58.38,23.42,121.25,53.48,39.64,23.15,63.19,337.83,19.04,214.94,11.48,99.84,132.77,22.79,12.23,6.1,4.25,73.12,37.96,46.14,51.35,81.88,11.29,1.36,15.45,35.26,72.78,80.68
1月20日,4455.99,157.93,72.6,65.11,25.59,133.67,58.86,43.01,25.92,70.22,384.36,21.06,240.08,12.68,109.26,148.41,25.33,13.28,6.55,4.47,80.82,42.07,51.6,54.79,90.93,12.11,1.44,16.42,38.92,80.18,90.18
1月21日,5081.71,177.7,76.7,72.43,28.03,148.39,64.26,46.32,29.05,77.36,438.19,23.06,269.69,13.99,119.37,166.18,27.86,14.5,6.99,4.65,89.53,46.6,57.79,57.67,100.77,12.9,1.44,17.38,42.93,87.93,101.07
1月22日,5799.51,197.86,80.44,79.53,30.62,163.36,69.54,49.2,32.22,84.18,492.62,24.98,300.79,15.14,129.25,184.9,29.87,15.65,7.37,4.93,97.69,51.21,63.26,60.36,110.08,13.57,1.44,18.24,46.67,94.75,111.05
1月23日,6505.48,215.57,83.76,86.17,32.65,177.65,74.34,51.87,35.17,89.34,541.67,26.64,329.1,16.15,138.01,201.86,31.44,16.48,7.55,5.12,104.05,55.54,68.24,63.21,117.73,14.12,1.53,19.07,49.71,100.83,120.27
1月24日,7040.24,230.11,86.64,92.59,35.08,199.06,79.21,54.6,38.86,93.7,578.42,28.41,352.13,17.48,147.31,214.63,32.84,17.59,7.92,5.41,110.84,59.45,73.63,67.13,126.59,14.78,1.53,20.03,52.89,107.48,129.79
1月25日,7453.3,240.13,88.97,96.36,36.69,216.34,83.14,56.82,42.63,96.63,602.41,29.85,365.2,18.37,154.57,222.16,34.12,18.53,8.26,5.69,115.55,61.61,77.23,69.84,133.07,15.23,1.58,20.75,55.88,112.68,134.89
