time,s1,s2,s3,s4
2020.1.10,0,0,0,0
2020.1.11,0,0,0,0
"2020,1.12",0,0,0,0
2020.1.13,0,0,0,0
2020.1.14,0,0,0,0
2020.1.15,0,0,0,0
2020.1.16,0,0,0,0
2020.1.17,0,0,0,0
2020.1.18,0,0,0,0
2020.1.19,0,1,0,0
2020.1.20,5,16,0,12
2020.1.21,22,42,1,12
2020.1.22,45,78,12,19
2020.1.23,126,161,32,54
2020.1.24,215,310,66,157
2020.1.25,334,488,120,434
2020.1.26,478,697,180,725
2020.1.27,613,941,258,1124
2020.1.28,802,1265,348,1649
2020.1.29,1036,1655,428,2325
2020.1.30,1290,2046,536,3167
2020.1.31,1492,2498,637,3938
2020.2.1,1671,2898,723,4965
2020.2.2,1867,3329,818,6035
2020.2.3,2097,3859,937,7138
2020.2.4,2281,4294,1053,8327
2020.2.5,2433,4702,1200,9548
2020.2.6,2582,5100,1332,10494
2020.2.7,2717,5410,1444,11350
2020.2.8,2820,5701,1544,12031
2020.2.9,2946,5937,1636,12728
2020.2.10,3033,6130,1742,13273
2020.2.11,3123,6346,1814,13807
2020.2.12,3198,6500,1893,14168
2020.2.13,3247,6643,1970,15081
2020.2.14,3286,6781,2012,15578
2020.2.15,3322,6861,2061,15873
2020.2.16,3361,6912,2087,16116
2020.2.17,3386,6953,2101,16323
2020.2.18,3404,6978,2114,16356
2020.2.19,3422,6991,2128,16516
2020.2.20,3463,7002,2334,16828
2020.2.21,3474,7019,2337,16880
2020.2.22,3475,7029,2344,16969
2020.2.23,3478,7036,2345,17019
2020.2.24,3483,7040,2345,17054
2020.2.25,3485,7041,2347,17085
2020.2.26,3500,7045,2352,17111
2020.2.27,3504,7049,2353,17116
2020.2.28,3505,7052,2353,17119
2020.2.29,3507,7053,2353,17124
