,北京,天津,河北,山西,内蒙古,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,全国,湖北
2020.1.20,5,,,,,,,,1,,,,,,,,,14,,,,,,0,,,,,,,291,270
2020.1.21,22,35,,,,,,,9,,5,,,2,1,1,,17,,,6,2,0,1,,,,,,,440,375
2020.1.22,14,4,1,,,,1,1,16,1,10,,,3,6,5,24,32,,,9,8,1,1,,,,,,,571,444
2020.1.23,26,5,2,1,,4,3,4,20,9,43,15,4,7,9,9,43,53,13,8,27,15,3,1,,3,2,0,2,2,830,549
2020.1.24,36,8,8,6,2,12,4,9,33,18,62,39,10,18,21,32,69,78,23,17,57,28,4,5,,5,4,0,3,3,1287,729
2020.1.25,51,10,13,9,7,15,4,15,40,31,104,60,18,36,39,83,100,98,33,19,75,44,5,11,,15,7,1,4,4,1975,1052
2020.1.26,68,14,18,13,11,22,6,21,53,47,128,70,35,48,63,128,143,146,46,22,110,69,7,19,,22,14,4,7,5,2744,1423
2020.1.27,80,23,33,20,13,30,8,30,66,70,173,106,59,72,87,168,221,188,51,33,132,90,9,26,,35,19,6,11,10,4515,2714
2020.1.28,91,24,48,27,16,36,9,37,80,99,296,152,80,109,121,206,277,241,58,43,147,108,9,51,,46,24,6,12,13,5974,3554
2020.1.29,111,27,65,35,18,41,14,43,101,129,428,200,101,162,145,278,332,311,78,46,165,142,12,70,,56,26,6,17,14,7711,4586
2020.1.30,132,31,82,39,20,45,14,59,128,168,537,237,120,240,178,352,389,393,87,49,206,177,15,80,1,63,29,8,21,17,9692,5806
2020.1.31,156,32,96,47,23,60,17,80,153,202,599,297,144,286,202,422,463,520,100,57,238,207,29,91,1,87,35,9,26,18,11791,7153
2020.2.1,183,41,104,56,27,64,23,95,177,236,661,340,159,333,225,493,521,604,111,63,262,231,38,99,1,101,40,9,28,21,14380,9074
2020.2.2,212,48,113,66,34,70,31,118,193,271,724,408,179,391,246,566,593,683,127,70,300,254,46,109,1,116,51,13,31,24,17205,11177
2020.2.3,228,60,126,74,35,74,42,155,208,308,829,480,194,476,270,675,661,797,139,79,337,282,56,117,1,128,55,15,34,29,20438,13522
2020.2.4,253,67,135,81,42,81,54,190,233,341,895,530,205,548,298,764,711,870,150,89,366,301,64,122,1,150,57,17,34,32,24324,16678
2020.2.5,274,69,157,90,46,89,59,227,196,373,954,669,215,600,343,851,772,944,168,100,389,321,69,128,1,165,62,18,40,36,24702,19665
2020.2.6,297,79,171,96,50,94,60,277,269,408,1006,665,224,661,379,914,803,1018,172,111,411,344,77,135,1,173,67,18,43,39,31161,22112
2020.2.7,315,81,195,104,52,99,69,295,281,439,1048,733,239,698,407,981,838,1075,183,122,426,363,89,138,1,184,71,18,44,42,34546,24953
2020.2.8,326,88,206,115,54,105,79,307,292,468,1075,779,250,740,435,1033,879,1120,195,128,446,386,96,140,1,195,79,18,45,45,37198,27013
2020.2.9,337,91,218,119,58,107,80,331,295,492,1092,830,261,771,459,1073,879,1151,215,136,468,405,109,141,1,208,83,18,49,49,40171,29631
2020.2.10,342,95,239,122,58,108,81,360,302,515,1117,860,267,804,486,1105,912,1177,215,142,486,417,118,149,1,213,86,18,53,55,42638,31728
2020.2.11,352,106,251,124,60,111,83,378,306,543,1131,889,272,844,497,1135,946,1219,222,145,505,436,131,154,1,219,86,18,58,59,44653,33366
2020.2.12,366,112,265,126,61,116,84,395,313,570,1145,910,279,872,506,1169,968,1241,222,157,518,451,135,155,1,225,87,18,64,63,59804,48206
2020.2.13,372,119,283,126,65,117,86,418,318,593,1155,934,281,900,519,1184,988,1261,226,157,529,463,140,162,1,230,90,18,67,65,63851,51986
2020.2.14,375,120,291,127,68,119,88,425,326,604,1162,950,285,913,530,1212,1001,1294,235,162,537,470,143,168,1,232,90,18,70,70,66492,54406
2020.2.15,380,122,300,128,70,120,89,445,328,617,1167,962,287,925,537,1231,1004,1316,237,162,544,481,144,169,1,236,90,18,70,71,68500,56249
2020.2.16,381,124,301,129,72,121,89,457,331,626,1171,973,290,930,541,1246,1006,1322,238,162,551,495,146,171,1,240,90,18,70,75,70548,58182
2020.2.17,387,125,302,130,73,121,89,464,333,629,1172,982,292,933,543,1257,1007,1328,242,163,553,508,146,172,1,240,91,18,70,76,72436,59989
2020.2.18,393,128,306,131,,121,90,470,333,631,1173,986,293,934,544,1262,1008,1331,244,163,296,514,146,173,1,242,91,18,71,76,57805,61682
2020.2.19,395,130,307,131,75,121,91,476,333,631,1175,987,293,934,546,1265,1010,1332,245,168,560,520,146,172,1,245,91,18,71,76,75002,62031
2020.2.20,396,131,308,132,75,121,91,479,334,631,1203,988,293,934,748,1267,1011,1333,246,168,567,525,146,174,1,245,91,18,71,76,75891,62662
2020.2.21,399,133,309,132,75,121,91,479,334,631,1205,989,293,934,750,1267,1013,1339,249,168,572,526,146,174,1,245,91,18,71,76,76288,63454
2020.2.22,399,135,311,132,75,121,91,480,335,631,1205,989,293,934,754,1271,1016,1342,249,168,573,526,146,174,1,245,91,18,71,76,76936,64084
2020.2.23,399,135,311,132,75,121,93,480,335,631,1205,989,293,934,755,1271,1016,1345,251,168,575,527,146,174,1,245,91,18,71,76,77150,64287
2020.2.24,400,135,311,133,75,121,93,480,335,631,1205,989,294,934,755,1271,1016,1347,252,168,576,529,146,174,1,245,91,18,71,76,77658,64786
2020.2.25,400,135,312,133,75,121,93,480,336,631,1205,989,294,934,756,1271,1016,1347,252,168,576,531,146,174,1,245,91,18,71,76,78064,65187
2020.2.26,410,135,317,133,75,121,93,480,337,631,1205,989,296,934,756,1272,1017,1347,252,168,576,534,146,174,1,245,91,18,72,76,78497,65596
2020.2.27,410,136,318,133,75,121,93,480,337,631,1205,990,296,935,756,1272,1017,1348,252,168,576,538,146,174,1,245,91,18,72,76,78824,65914
2020.2.28,411,136,318,133,75,121,93,480,337,631,1205,990,296,935,756,1272,1018,1349,252,168,576,538,146,174,1,245,91,18,73,76,79251,66337
2020.2.29,413,136,318,133,75,122,93,480,337,631,1205,990,296,935,756,1272,1018,1349,252,168,576,538,146,174,1,245,91,18,73,76,79824,66907
