time,beijing,tianjin,hebei,shanxi,neimenggu,liaoning,jilin,heilongjiang,shanghai,jiangsu,zhejiang,anhui,fujian,jiangxi,shandong,henan,hunan,guangdong,guangxi,hainan,chongqi,sichuan,guizhou,yunnan,xizang,shanxi,gansu,qinghai,ningxia,xinjiang,hubei,2020n,2019n,chinahubei
2020/1/10,10.7906,1.9198,8.275,5.4946,2.0522,2.8466,1.2578,2.0522,7.8116,14.6302,10.7244,16.6824,6.4876,14.6964,10.3272,34.6226,25.818,18.7346,7.7454,3.0452,9.7976,9.7976,6.7524,4.8988,0.2648,5.5608,3.4424,0.8606,1.1254,2.3832,409.1822,6.62,4.57,2.50898
2020/1/11,8.7696,1.6632,7.4844,5.0652,1.7388,2.7216,1.2096,2.1924,7.3332,13.4568,10.4328,17.0856,6.5772,16.254,8.4672,37.1952,27.1404,16.7832,7.4088,2.7216,9.072,9.6768,5.7456,4.914,0.1512,5.8212,3.024,0.5292,1.0584,2.4192,509.7708,7.56,4.69,2.441124
2020/1/12,7.5262,1.3684,6.4688,4.7894,1.866,2.3014,1.244,2.2392,5.287,10.4496,7.9616,13.1864,5.7846,12.3156,8.2104,30.6646,21.459,14.1194,7.464,2.8612,8.3348,9.5788,5.4114,4.2918,0.311,4.9138,3.0478,0.8086,0.9952,2.3014,412.8836,6.22,4.81,2.075614
2020/1/13,8.2944,1.2672,6.5088,4.608,1.6128,2.4192,1.3248,1.9584,6.4512,10.2528,7.8912,13.3632,5.8752,12.96,7.488,30.7584,21.7152,14.112,6.912,2.304,7.6608,8.6976,5.6448,4.608,0.2304,4.8384,2.9952,0.576,0.864,2.1888,368.064,5.76,4.86,2.063808
2020/1/14,7.7532,0.9282,5.5146,3.7674,1.2012,2.2386,1.2012,1.8018,5.6784,9.555,6.825,13.1586,5.5146,12.2304,6.8796,31.5042,20.8572,11.9028,5.5146,2.1294,7.8078,8.2992,4.368,3.549,0.1638,4.4772,2.6208,0.546,0.6006,2.0748,353.808,5.46,5.66,1.906632
2020/1/15,7.683,1.3002,6.8556,3.8415,1.0638,2.1276,1.1229,1.9503,5.3781,9.8697,6.7374,14.9523,5.91,13.4157,7.092,35.6373,21.0987,11.4063,5.0826,2.2458,9.1014,8.3331,3.4869,3.2505,0.1182,4.4325,2.4231,0.4137,0.4728,1.4775,391.242,5.91,7.04,1.982805
2020/1/16,7.68,1.2,6.42,3.06,1.26,2.52,1.08,2.04,5.52,9.9,7.14,14.58,6.42,14.4,7.44,38.76,21.78,11.7,4.86,2.52,8.7,8.64,3.54,3.48,0.12,4.8,2.1,0.36,0.54,1.44,394.5,6,6.49,2.04
2020/1/17,6.8908,0.966,7.2128,3.6708,1.1592,2.5116,1.4168,2.1252,5.152,10.948,7.4704,16.2288,6.6976,15.456,8.05,41.0228,23.1196,11.914,5.0232,2.4472,8.5008,8.2432,3.2844,3.4776,0.0644,4.6368,2.1252,0.2576,0.322,0.966,431.2224,6.44,6.77,2.113608
2020/1/18,5.6283,1.0794,7.4787,4.0863,0.9252,2.6214,1.3107,2.1588,4.626,11.9505,8.7894,18.5811,7.0932,17.2704,8.7123,43.176,28.9125,12.4902,4.626,2.4672,9.7917,9.0978,3.4695,3.4695,0.0771,5.397,2.1588,0.3084,0.5397,1.4649,539.3916,7.71,7.03,2.29758
2020/1/19,5.0388,1.0374,7.41,4.2237,1.0374,2.8158,1.4079,2.3712,4.1496,10.2999,7.7064,16.8207,7.4841,16.5243,8.3733,43.4226,25.4163,13.1157,5.6316,2.8899,9.5589,9.9294,3.4827,3.6309,0.0741,6.1503,2.2971,0.2223,0.5928,0.8892,514.995,7.41,7.11,2.240043
2020/1/20,4.6536,0.9141,7.8114,4.5705,1.1634,2.8254,1.3296,2.2437,3.8226,10.4706,8.2269,18.8637,7.479,17.3679,8.5593,51.6882,27.9216,13.7946,5.9832,3.0747,10.5537,10.0551,3.7395,4.0719,0.0831,6.0663,2.4099,0.2493,0.4986,1.0803,587.2677,8.31,7.48,2.415717
2020/1/21,5.0478,0.9666,8.8068,5.5848,1.5036,3.1146,1.611,2.4702,3.5442,12.4584,9.5586,24.3798,9.0216,21.9096,10.74,66.3732,36.516,18.1506,6.6588,3.8664,13.425,12.1362,4.0812,4.9404,0,7.6254,3.0072,0.2148,0.537,1.1814,771.5616,10.74,8.71,2.994312
2020/1/22,4.6176,0.8288,8.4064,5.6832,1.4208,2.4864,1.4208,2.368,3.3152,12.1952,8.4064,24.864,8.7616,23.088,10.064,67.1328,38.3616,18.4704,6.512,3.9072,12.3136,11.4848,3.552,4.6176,0,6.7488,3.1968,0.3552,0.4736,1.0656,885.2768,11.84,9.6,2.961184
2020/1/23,4.0104,0.6684,6.2384,5.2358,1.0026,1.8938,1.2254,2.0052,3.4534,10.583,7.3524,21.3888,8.0208,20.4976,7.6866,59.2648,34.1998,17.267,5.7928,3.5648,11.14,9.2462,3.2306,3.6762,0.1114,6.0156,2.4508,0.2228,0.2228,1.0026,852.9898,11.14,9.22,2.586708
2020/1/24,1.5171,0.3501,2.2951,2.0617,0.5835,0.7391,0.7002,0.9336,2.0617,4.9014,3.501,7.6633,3.3843,6.7297,3.5788,19.3722,12.1368,11.281,2.5674,1.945,5.0181,4.668,1.4393,1.6727,0,2.8397,1.2837,0.1556,0.1945,0.5057,281.8694,3.89,7.38,1.060803
2020/1/25,0.546,0.104,0.689,0.507,0.221,0.299,0.208,0.338,0.637,1.703,1.222,2.353,0.884,1.768,1.105,5.629,3.068,4.056,0.923,0.884,1.196,1.521,0.52,0.702,0.013,0.845,0.377,0.065,0.078,0.169,96.928,1.3,5.54,0.3263
2020/1/26,0.2772,0.033,0.2772,0.264,0.1056,0.1518,0.1056,0.0858,0.3366,0.8184,0.8184,0.9702,0.396,0.9042,0.4158,2.706,1.5708,2.4816,0.2772,0.33,0.4224,0.561,0.1914,0.3498,0,0.3168,0.1518,0.0396,0.0198,0.0594,50.3382,0.66,6.54,0.154374
2020/1/27,0.1161,0.0258,0.129,0.0989,0.0602,0.0731,0.0387,0.0559,0.2322,0.43,0.2451,0.6278,0.1935,0.4558,0.2021,1.1868,0.8471,1.1524,0.1634,0.129,0.2322,0.2451,0.1032,0.129,0,0.1462,0.0774,0.0086,0.0172,0.0387,35.4578,0.43,5.64,0.074605
2020/1/28,0.0672,0.0224,0.0768,0.032,0.0352,0.048,0.0224,0.0384,0.1568,0.1824,0.144,0.2752,0.0736,0.272,0.1056,0.7008,0.5408,0.5248,0.048,0.0704,0.1248,0.1312,0.032,0.064,0.0032,0.0992,0.0448,0.0032,0.0064,0.016,27.9936,0.32,4.7,0.039616
2020/1/29,0.0338,0.0026,0.0364,0.0364,0.0078,0.0208,0.0104,0.0078,0.0494,0.182,0.078,0.1586,0.0312,0.1768,0.0702,0.4472,0.325,0.3302,0.0104,0.0156,0.0832,0.0494,0.0156,0.0416,0,0.0338,0.0078,0.0026,0.0026,0.0104,23.6808,0.26,4.27,0.022776
2020/1/30,0.0168,0.012,0.0432,0.0072,0.024,0.0216,0.0048,0.0072,0.0216,0.1776,0.0792,0.1224,0.0336,0.168,0.0432,0.2952,0.336,0.1992,0.0072,0.0048,0.0552,0.06,0.024,0.0168,0.0072,0.0528,0.0072,0.0024,0.0024,0.0024,22.0968,0.24,3.72,0.018552
