id,lag,ccf,ncov19
0,25,0.42003142,480
1,9,0.402042751,76
2,16,0.43137627,133
3,18,0.328037868,73
4,0,0,1
5,30,0.62757944,756
6,13,0.339693532,1273
7,21,0.409922251,631
8,16,0.303766301,990
9,0,0,0
10,7,0.419911874,1217
11,12,0.443065972,936
12,16,0.355984758,1018
13,15,0.445400967,175
14,8,0.334387354,146
15,8,0.387268195,296
16,17,0.413090914,252
17,13,0.373566265,1349
18,22,0.314847488,168
19,13,0.436021208,93
20,15,0.249959906,122
21,11,0.327448171,136
22,0,0,18
23,18,0.396470614,91
24,9,0.355037954,245
25,16,0.375051196,75
26,3,0.486167287,576
27,23,0.554853234,318
28,13,0.403293124,337
29,10,0.367765822,413
30,0,0,0
31,0,0,0
32,0,0,0
33,8,0.477026536,538
