id,lag,ccf,ncov19,mig
0,25,0.42003142,480,14.16 
1,9,0.402042751,76,10.22 
2,16,0.43137627,133,30.99 
3,18,0.328037868,73,4.13 
4,0,0,1,0
5,30,0.62757944,756,56.00 
6,13,0.339693532,1273,291.00 
7,21,0.409922251,631,75.37 
8,16,0.303766301,990,116.57 
9,0,0,0,0
10,7,0.419911874,1217,54.84 
11,12,0.443065972,936,108.29 
12,16,0.355984758,1018,180.36 
13,15,0.445400967,175,26.86 
14,8,0.334387354,146,28.00 
15,8,0.387268195,296,45.95 
16,17,0.413090914,252,40.18 
17,13,0.373566265,1349,102.74 
18,22,0.314847488,168,19.42 
19,13,0.436021208,93,8.72 
20,15,0.249959906,122,16.74 
21,11,0.327448171,136,7.65 
22,0,0,18,0
23,18,0.396470614,91,17.64 
24,9,0.355037954,245,37.06 
25,16,0.375051196,75,9.14 
26,3,0.486167287,576,64.53 
27,23,0.554853234,318,47.18 
28,13,0.403293124,337,34.00 
29,10,0.367765822,413,43.87 
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,8,0.477026536,538,63.23 
