date,this_year,last_year
1 ,6.62,4.57
2 ,7.56,4.69
3 ,6.22,4.81
4 ,5.76,4.86
5 ,5.46,5.66
6 ,5.91,7.04
7 ,6,6.49
8 ,6.44,6.77
9 ,7.71,7.03
10 ,7.41,7.11
11 ,8.31,7.48
12 ,10.74,8.71
13 ,11.84,9.6
14 ,11.14,9.22
15 ,3.89,7.38
16 ,1.3,5.54
17 ,0.66,6.54
18 ,0.43,5.64
19 ,0.32,4.7
20 ,0.26,4.27
21 ,0.24,3.72
22 ,0.24,3.5
23 ,0.24,3.28
24 ,0.46,3.4
25 ,0.21,3.37
26 ,0.23,3.45
27 ,0.28,3.99
28 ,0.28,3.56
29 ,0.27,4.09
30 ,0.28,3.71
31 ,0.29,2.98
32 ,0.27,2.9
33 ,0.27,3.05
34 ,0.29,3.9
35 ,0.31,3.78
36 ,0.31,3.34
37 ,0.3,3.07
38 ,0.29,3.28
39 ,0.28,4.32
40 ,0.26,3.62
41 ,0.25,4.23
42 ,0.26,3.46
43 ,0.26,3.81
44 ,0.25,3.3
45 ,0.25,3.33
46 ,0.26,3.88
47 ,0.26,4.73
48 ,0.26,3.89
49 ,0.24,4.07
50 ,0.26,3.47
51 ,0.27,3.36
