province,distance,lag,ccf,train,GDP,cluster,mig,population
安徽,295.4,16,0.303766301,47,30006.82,2,116565.3804,6324
北京,1047.2,10,0.367765822,45,30319.98,1,43869.7854,2154
福建,696.1,8,0.387268195,10,35804.04,1,45952.96524,3941
甘肃,1135.5,18,0.396470614,10,8246.07,2,17644.12188,2637
广东,839.5,13,0.373566265,77,97277.77,2,102738.0917,11346
广西,1044.1,17,0.413090914,8,20352.51,2,40184.46432,4926
贵州,873.9,8,0.334387354,9,14806.45,1,28003.3026,3600
海南,1249.2,22,0.314847488,2,4832.05,3,19416.68568,934
河北,826.6,23,0.554853234,60,36010.27,3,47177.3988,7556
河南,463.4,13,0.339693532,106,48055.86,2,290996.7438,9605
黑龙江,1992.2,25,0.42003142,4,16361.62,3,14159.76408,3773
湖南,303.1,16,0.355984758,114,36425.78,2,180355.8624,6899
吉林,1761.1,13,0.436021208,5,15074.62,2,8721.37896,2704
江苏,448.3,21,0.409922251,44,92595.4,3,75368.93196,8051
江西,256.6,12,0.443065972,33,21984.78,2,108285.7289,4648
辽宁,1476,15,0.249959906,9,25315.35,2,16742.45832,4359
内蒙古,1159.5,16,0.375051196,4,17289.22,2,9137.37384,2534
宁夏,1139,18,0.328037868,1,3705.18,2,4131.6786,688
山东,716.5,30,0.62757944,12,76469.67,3,55996.45464,10047
山西,822.7,16,0.43137627,3,16818.11,2,30993.80004,3718
陕西,656.1,9,0.355037954,24,24438.32,1,37055.95488,3864
上海,678.7,13,0.403293124,32,32679.87,2,34001.74932,2424
四川,983.8,8,0.477026536,21,40678.13,1,63233.982,8341
天津,967.4,11,0.327448171,16,18809.64,2,7645.73124,1560
新疆,2761.6,9,0.402042751,4,12199.08,1,10219.7886,2487
云南,1297.2,15,0.445400967,6,17881.12,2,26862.43308,4830
浙江,552,7,0.419911874,15,56197.15,1,54839.46888,5737
重庆,755.8,3,0.486167287,36,20363.19,1,64528.08936,3102
