id,lag,ccf,ncov19,mig
0,25,0.42003142,480,14159.76408
1,9,0.402042751,76,10219.7886
2,16,0.43137627,133,30993.80004
3,18,0.328037868,73,4131.6786
4,0,0,1,0
5,30,0.62757944,756,55996.45464
6,13,0.339693532,1273,290996.7438
7,21,0.409922251,631,75368.93196
8,16,0.303766301,990,116565.3804
9,0,0,0,0
10,7,0.419911874,1217,54839.46888
11,12,0.443065972,936,108285.7289
12,16,0.355984758,1018,180355.8624
13,15,0.445400967,175,26862.43308
14,8,0.334387354,146,28003.3026
15,8,0.387268195,296,45952.96524
16,17,0.413090914,252,40184.46432
17,13,0.373566265,1349,102738.0917
18,22,0.314847488,168,19416.68568
19,13,0.436021208,93,8721.37896
20,15,0.249959906,122,16742.45832
21,11,0.327448171,136,7645.73124
22,0,0,18,0
23,18,0.396470614,91,17644.12188
24,9,0.355037954,245,37055.95488
25,16,0.375051196,75,9137.37384
26,3,0.486167287,576,64528.08936
27,23,0.554853234,318,47177.3988
28,13,0.403293124,337,34001.74932
29,10,0.367765822,413,43869.7854
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,8,0.477026536,538,63233.982
